Date,Bitcoin_Price,Growth,Class
2015-09-16,227.86,0.0020626700605634986,2
2015-09-17,228.33,0.0204090570665265,2
2015-09-18,232.99,-0.009785827717927813,3
2015-09-19,230.71,-0.0019938450869056734,3
2015-09-20,230.25,-0.016026058631921813,3
2015-09-21,226.56,0.012667725988700584,2
2015-09-22,229.43,0.004315041624896398,2
2015-09-23,230.42,0.015102855654891148,2
2015-09-24,233.9,0.008080376229157702,2
2015-09-25,235.79,-0.0024174053182916713,3
2015-09-26,235.22,0.015814981719241557,2
2015-09-27,238.94,-0.005273290365782167,3
2015-09-28,237.68,0.00614271289128231,2
2015-09-29,239.14,-0.0006690641465250339,3
2015-09-30,238.98,-0.00502134069796631,3
2015-10-01,237.78,0.001051392043065018,2
2015-10-02,238.03,0.006049657606184085,2
2015-10-03,239.47,-0.0010439721050653527,3
2015-10-04,239.22,-0.00342780703954516,3
2015-10-05,238.4,0.028733221476510043,2
2015-10-06,245.25,-0.005463812436289514,3
2015-10-07,243.91,-0.0036898856135460035,3
2015-10-08,243.01,0.011439858442039427,2
2015-10-09,245.79,0.009316896537694864,2
2015-10-10,248.08,-0.009513060303128078,3
2015-10-11,245.72,0.015708937001465136,2
2015-10-12,249.58,0.020113791169164123,2
2015-10-13,254.6,-0.01814611154752555,3
2015-10-14,249.98,0.04932394591567331,2
2015-10-15,262.31,0.025771034272425723,2
2015-10-16,269.07,-0.02530939904114172,3
2015-10-17,262.26,0.0006863417982155373,2
2015-10-18,262.44,0.006553878981862625,2
2015-10-19,264.16,-0.002157783161720359,3
2015-10-20,263.59,0.020903676163739324,2
2015-10-21,269.1,0.018023039762170068,2
2015-10-22,273.95,0.0014601204599380695,2
2015-10-23,274.35,0.020229633679606174,2
2015-10-24,279.9,0.05398356555912831,2
2015-10-25,295.01,-0.04138842751093177,3
2015-10-26,282.8,0.04218528995756721,2
2015-10-27,294.73,0.01431818952939969,2
2015-10-28,298.95,0.019535039304231585,2
2015-10-29,304.79,0.08008792939400888,2
2015-10-30,329.2,-0.055528554070473794,3
2015-10-31,310.92,-0.0023800334491187736,3
2015-11-01,310.18,0.09836224127925718,2
2015-11-02,340.69,0.2005048577886055,1
2015-11-03,409.0,-0.011002444987775062,3
2015-11-04,404.5,-0.011124845488257108,3
2015-11-05,400.0,-0.02905000000000001,3
2015-11-06,388.38,-0.03782378083320459,3
2015-11-07,373.69,0.020926436350986094,2
2015-11-08,381.51,-0.007103352467825168,3
2015-11-09,378.8,0.00480464625131994,2
2015-11-10,380.62,-0.18580211234301935,3
2015-11-11,309.9,0.07002258793159098,2
2015-11-12,331.6,0.02777442702050657,2
2015-11-13,340.81,-0.026143599072797234,3
2015-11-14,331.9,-0.02883398614040372,3
2015-11-15,322.33,-0.010424099525331049,3
