Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time,Class
2016-04-22,6921588.0,23844241.7205,178678307671.0,58802.0,0.774912097902098,1780084.41598157,1270146.99973,8.12289825859514,1.09898560548,329184.361064,5290883.16458,1475.35664335664,359204.0,210976.0,42.68874359,15461600.0,7.8,2
2020-11-12,57461403.0,298105721.52049994,16787779609933.0,119821.0,1.2476003812499998,17804675.564513773,133524008.14281088,54.343020631232235,0.5456847466223218,204679.98235913995,1961289.4482258307,2030.34375,721180.0,324855.0,102.85022306000003,18541675.0,10.212499999999999,2
2017-08-15,16030405.0,592573698.11,923233068448.0001,67660.0,0.975069901315789,9519693.7153427,6975913.04406,30.4737466479167,0.786859232108,286004.191195,2679106.22241,2046.06578947368,650899.0,311002.0,350.45038263,16508887.5,17.375,3
2014-03-11,1371223.0,8456225.3971,3815723798.81463,23962.0,0.246250067438,2707735.7,31866.3506903734,35.6191965167,1.41040070682,298993.0,988209.04639411,364.0,155145.0,76019.0,17.27911595,12499300.0,8.0,2
2017-12-25,21249422.0,1134112808.24,1873105475220.0,42867.0,1.05074595555555,33837650.8285438,12570198.0594,144.978323844008,1.33193410634,178454.354516,1810627.09799,1695.74814814815,565074.0,228926.0,689.39441204,16762975.0,10.8666666667,3
2021-02-24,68418500.0,2125994179.9211,21724134900047.0,102302.0,1.3099372327044028,59746178.57906681,171706103.93293357,164.35141978193315,0.6548274147604114,183195.8444272599,2121419.752623374,2252.1509433962265,874171.0,358092.0,189.53161494000005,18637687.5,11.633333333333333,2
2020-09-07,53418019.0,89153592.5889,17445332713343.377,102802.0,1.2804861428571424,12203310.681068864,151762133.7678071,36.76991795623417,0.6984702334794333,172730.1363213799,2985927.900431941,1872.3542857142857,672721.0,327662.0,96.71790986000002,18482587.5,11.2,2
2012-11-13,40324.0,246526.653828,3368767.14053294,2598.0,0.0861424538824,79803.1,22.7748759110447,2.73101878786,5.21462697969,138495.0,854362.514737249,285.0,25520.0,29221.0,22.71522209,10386600.0,11.7166666666667,3
2014-10-28,2417787.0,3328191.757,35985640265.0762,43379.0,0.320138262378,1241173.89,268328.382055769,13.7498769221,2.55554496276,141379.0,843974.100864434,545.0,175287.0,90268.0,13.55763444,13438400.0,7.21666666666667,3
2021-02-12,67237407.0,990292287.0491999,21434395961349.0,111391.0,1.2729824577464783,53308083.0824142,151302363.56734022,152.7207184016725,0.6824367692921438,163544.30939108998,2143548.811255575,2417.6478873239435,857246.0,343306.0,202.39953165999995,18626925.0,11.5,3
2014-03-01,1329950.0,2667620.87528,3815723798.81,23073.0,0.261243555555556,2801268.27176672,28262.4181718,34.9063347717377,5.27146080065,70872.0,539949.014988,440.291666666667,139563.0,63402.0,12.59578282,12462775.0,10.0,2
