Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,wallet_transaction_volume,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time
2018-09-25,28744506.0,331869673.6305,7152633351906.0,62469.0,15703.18530558,0.768240781065,13676604.3032,60089527.1899868,54.2479138451,1.62422067274,131313.27578,1366731.26951542,1491.79289941,490588.0,252113.0,20.31737127,17288550.0,6.3
2018-09-28,28830132.0,346892752.0064,7152633351906.0,67174.0,22603.58494457,0.855168668831,13046981.4048,54756137.2027098,51.317781319,1.42838110486,136792.502241,1078383.89383538,1650.9025974,527057.0,254239.0,28.91825487,17294000.0,6.18333333333333
2018-10-01,28904902.0,218012664.3032,7152633351906.0,64903.0,16545.48546097,0.857105917722,13160999.4467,56178374.5326503,54.2006401727,1.91518551771,104262.659071,823577.905055144,1536.83544304,484982.0,242820.0,21.82334691,17299912.5,6.5
2018-10-04,28992821.0,303440379.4444,7364268059355.9,67286.0,16046.19912433,0.798640053333,12429603.1225,54911962.6283177,51.1176035341,1.87034758598,101249.050069,843966.492125517,1621.04666667,506879.0,243157.0,18.70916379,17305312.5,6.74166666666667
2018-10-07,29080633.0,161983068.3956,7454968648263.0,45151.0,3594.33333125,0.831893478873,11727102.619,52623567.2251537,53.3702691884,4.76078757609,37558.2125624,500647.359567858,1547.40140845,444617.0,219731.0,13.06671747,17310275.0,6.5875
2018-10-10,29143292.0,193623568.374,7454968648263.0,67009.0,13379.8909393,0.896905520833,11916022.1738,53364744.2283249,48.6477461218,1.57316800705,115412.589702,1041130.21985007,1701.00694444,482434.0,244945.0,15.6339373,17315387.5,7.825
2018-10-13,29226740.0,215730649.56,7454968648263.0,56344.0,8648.80847335,0.862022191489,11117559.4896,52252978.7235681,54.2063486528,3.01624312497,58874.0592646,685161.779747514,1454.58865248,400480.0,205097.0,13.28476496,17320787.5,7.4
2018-10-16,29323774.0,1178100920.2503,7454968648263.0,66359.0,17296.92101645,1.06627381481,11259236.3222,50029447.7140546,43.6460334934,1.24610226128,136972.661056,827843.657398782,1910.86666667,490755.0,257967.0,19.31942675,17325925.0,9.48333333333333
2018-10-19,29409421.0,296802022.5684,7182852313938.0,68839.0,11584.2841001,1.01814784507,11629773.63,50702736.5834647,45.8178974181,1.38562111466,129375.825996,961462.472685052,1787.50704225,504470.0,253826.0,17.65876226,17331150.0,9.19166666666667
2018-10-22,29493113.0,134160567.1176,7182852313938.0,69425.0,14805.29011719,0.916539567742,12699337.8429,55344536.4115284,49.7381281937,1.71574154234,113898.245369,877222.892777349,1647.2516129,489859.0,255324.0,16.6995118,17336600.0,6.98333333333333
